train_number,station_code,station_sequence,scheduled_arrival,actual_arrival,arrival_delay_min,scheduled_distance_km,current_delay_min,section_avg_delay_min,weather_severity,is_weekend,day_of_week,hour_of_day,train_type,priority_score,platform_congestion,num_stops_so_far,halts_scheduled_min
107,SWV,1,2026-08-26 00:00:00,2026-08-26 00:07:06,7.1,0.0,0.0,2.9,0,0,2,0,EXP,0.55,0.12,1,625.0
107,THVM,2,2026-08-26 11:06:00,2026-08-26 11:11:42,5.7,32.0,7.1,5.4,0,0,2,11,EXP,0.55,0.2,2,2.0
107,KRMI,3,2026-08-26 11:28:00,2026-08-26 11:38:24,10.4,49.0,5.7,6.4,1,0,2,11,EXP,0.55,0.16,3,2.0
107,MAO,4,2026-08-26 12:10:00,2026-08-26 12:19:42,9.7,78.0,10.4,11.4,0,0,2,12,EXP,0.55,0.45,4,0.0
108,MAO,1,2026-08-26 00:00:00,2026-08-26 00:24:30,24.5,0.0,0.0,6.9,1,0,2,0,EXP,0.55,0.45,1,1230.0
108,KRMI,2,2026-08-26 21:04:00,2026-08-26 21:13:54,9.9,33.0,24.5,4.9,0,0,2,21,EXP,0.55,0.16,2,2.0
108,THVM,3,2026-08-26 21:26:00,2026-08-26 21:41:06,15.1,51.0,9.9,6.9,2,0,2,21,EXP,0.55,0.2,3,2.0
108,SWV,4,2026-08-26 22:25:00,2026-08-26 22:34:06,9.1,83.0,15.1,7.4,0,0,2,22,EXP,0.55,0.12,4,0.0
128,MAO,1,2026-08-26 19:40:00,2026-08-26 19:50:00,10.0,0.0,0.0,6.9,0,0,2,19,EXP,0.55,0.45,1,0.0
128,KRMI,2,2026-08-26 20:18:00,2026-08-26 20:29:24,11.4,33.0,10.0,4.9,2,0,2,20,EXP,0.55,0.16,2,2.0
128,THVM,3,2026-08-26 20:40:00,2026-08-26 20:48:42,8.7,51.0,11.4,6.9,1,0,2,20,EXP,0.55,0.2,3,2.0
128,SWV,4,2026-08-26 21:16:00,2026-08-26 21:23:54,7.9,83.0,8.7,7.4,0,0,2,21,EXP,0.55,0.12,4,2.0
128,KUDL,5,2026-08-26 21:38:00,2026-08-26 21:57:18,19.3,104.0,7.9,2.0,1,0,2,21,EXP,0.55,0.17,5,2.0
128,SNDD,6,2026-08-26 21:54:00,2026-08-26 21:57:00,3.0,114.0,19.3,2.3,0,0,2,21,EXP,0.55,0.07,6,2.0
128,KKW,7,2026-08-26 22:18:00,2026-08-26 22:21:36,3.6,132.0,3.0,4.8,0,0,2,22,EXP,0.55,0.15,7,2.0
128,VBW,8,2026-08-26 22:40:00,2026-08-26 22:45:18,5.3,163.0,3.6,5.0,0,0,2,22,EXP,0.55,0.04,8,2.0
128,RAJP,9,2026-08-26 22:56:00,2026-08-26 22:59:12,3.2,179.0,5.3,6.5,0,0,2,22,EXP,0.55,0.04,9,2.0
128,RN,10,2026-08-26 23:52:00,2026-08-26 23:58:12,6.2,244.0,3.2,4.6,0,0,2,23,EXP,0.55,0.38,10,5.0
128,SGR,11,2026-08-26 00:34:00,2026-08-26 00:42:36,8.6,280.0,6.2,2.1,1,0,2,0,EXP,0.55,0.05,11,2.0
128,CHI,12,2026-08-26 01:10:00,2026-08-26 01:13:06,3.1,322.0,8.6,5.5,0,0,2,1,EXP,0.55,0.21,12,2.0
128,KHED,13,2026-08-26 01:52:00,2026-08-26 02:02:12,10.2,352.0,3.1,5.8,0,0,2,1,EXP,0.55,0.11,13,2.0
128,MNI,14,2026-08-26 04:00:00,2026-08-26 04:12:06,12.1,422.0,10.2,6.7,2,0,2,4,EXP,0.55,0.06,14,2.0
128,ROHA,15,2026-08-26 04:55:00,2026-08-26 05:00:00,5.0,455.0,12.1,1.6,0,0,2,4,EXP,0.55,0.13,15,5.0
128,PNVL,16,2026-08-26 06:20:00,2026-08-26 06:39:12,19.2,532.0,5.0,12.9,0,0,2,6,EXP,0.55,0.95,16,5.0
128,KJT,17,2026-08-26 07:40:00,2026-08-26 07:52:36,12.6,560.0,19.2,10.7,0,0,2,7,EXP,0.55,0.64,17,5.0
128,LNL,18,2026-08-26 08:30:00,2026-08-26 08:41:36,11.6,588.0,12.6,11.8,0,0,2,8,EXP,0.55,0.61,18,3.0
128,PUNE,19,2026-08-26 10:30:00,2026-08-26 10:55:48,25.8,652.0,11.6,17.4,2,0,2,10,EXP,0.55,0.95,19,15.0
128,STR,20,2026-08-26 13:42:00,2026-08-26 13:45:06,3.1,797.0,25.8,2.2,0,0,2,13,EXP,0.55,0.18,20,3.0
